"2342","1592","2333","2307","1414","1551","1414","11","0","2","0","0","0","0"
" RowID","","","Product Name","System SKU","Barcode","Product SKU","บาร์โค้ดจริง","","หน่วย","","","",""
"SKU-574-1466","574","1466","รสดี ผงปรุงรส หมู 70ก  (รสดี ผงปรุงรส หมู 70ก แพค10)","U00001038","8850250011026","U00001038","","","","","","",""
"SKU-574-1467","574","1467","รสดี ผงปรุงรส หมู 70ก  (รสดี ผงปรุงรส หมู 70ก หีบ x16แพค10)","U00001038","88502500110268","U00001038","","","","","","",""
"SKU-574-3449","574","3449","รสดี ผงปรุงรส หมู 70ก  (FOC รสดี ผงปรุงรส หมู 70ก ซอง)","U00001038","-","U00001038","","","","","","",""
"SKU-575-1469","575","1469","รสดี ผงปรุงรส หมู 155ก  (รสดี ผงปรุงรส หมู 155ก )","U00001039","8850250010944","U00001039","","","","","","",""
"SKU-575-1470","575","1470","รสดี ผงปรุงรส หมู 155ก  (รสดี ผงปรุงรส หมู 155ก แพค10)","U00001039","8850250011033","U00001039","","","","","","",""
"SKU-575-1471","575","1471","รสดี ผงปรุงรส หมู 155ก  (รสดี ผงปรุงรส หมู 155ก หีบx8แพค10)","U00001039","88502500110336","U00001039","","","","","","",""
"SKU-576-1472","576","1472","รสดี ผงปรุงรส หมู 400ก  (รสดี ผงปรุงรส หมู 400ก )","U00001040","8850250010951","U00001040","","","","","","",""
"SKU-576-1473","576","1473","รสดี ผงปรุงรส หมู 400ก  (รสดี ผงปรุงรส หมู 400ก แพค5)","U00001040","8850250011040","U00001040","","","","","","",""
"SKU-576-1474","576","1474","รสดี ผงปรุงรส หมู 400ก  (รสดี ผงปรุงรส หมู 400ก หีบx4แพค5)","U00001040","88502500110404","U00001040","","","","","","",""
"SKU-577-1475","577","1475","อร่อยดี กะทิ 250 มล  (อร่อยดี กะทิ 250 มล แพค6)","U00001041","8851613103389","U00001041","","","","","","",""
"SKU-577-1476","577","1476","อร่อยดี กะทิ 250 มล  (อร่อยดี กะทิ 250 มล หีบx6แพค6)","U00001041","18851613102808","U00001041","","","","","","",""
"SKU-578-1478","578","1478","อร่อยดี กะทิ 1000 มล  (อร่อยดี กะทิ 1000 มล )","U00001042","8851613101392","U00001042","","","","","","",""
"SKU-578-1479","578","1479","อร่อยดี กะทิ 1000 มล  (อร่อยดี กะทิ 1000 มล หีบx12)","U00001042","18851613102822","U00001042","","","","","","",""
"SKU-582-1484","582","1484","เด็กสมบูรณ์ ซิอิ๊วขาว สูตร1 700มล.  (เด็กสมบูรณ์ ซิอิ๊วขาว 700มล. )","U00001043","8850206011025","U00001043","","","","","","",""
"SKU-582-1483","582","1483","เด็กสมบูรณ์ ซิอิ๊วขาว สูตร1 700มล.  (เด็กสมบูรณ์ ซิอิ๊วขาว 700มล. หีบx12)","U00001043","18850206011022","U00001043","","","","","","",""
"SKU-583-1486","583","1486","มาม่า บะหมี่กึ่งสำเร็จรูป หมูสับ 60ก. (มาม่า บะหมี่กึ่งสำเร็จรูป หมูสับ 60ก. กล่อง30ซ)","U00001044","8850987101274","U00001044","","","","","","",""
"SKU-583-1487","583","1487","มาม่า บะหมี่กึ่งสำเร็จรูป หมูสับ 60ก. (มาม่า บะหมี่กึ่งสำเร็จรูป หมูสับ 60ก. หีบx6 กล่อง30ซ)","U00001044","28850987101278","U00001044","","","","","","",""
"SKU-584-1488","584","1488","มาม่า บะหมี่กึ่งสำเร็จรูป ต้มยำกุ้ง 55ก. (มาม่า บะหมี่กึ่งสำเร็จรูป ต้มยำกุ้ง 55ก. กล่อง30ซ)","U00001045","8850987101298","U00001045","","","","","","",""
"SKU-584-1489","584","1489","มาม่า บะหมี่กึ่งสำเร็จรูป ต้มยำกุ้ง 55ก. (มาม่า บะหมี่กึ่งสำเร็จรูป ต้มยำกุ้ง 55ก. หีบx6 กล่อง30ซ)","U00001045","28850987101292","U00001045","","","","","","",""
"SKU-585-1491","585","1491","มาม่า บะหมี่กึ่งสำเร็จรูป ต้มยำกุ้งน้ำข้น 55ก. (มาม่า บะหมี่กึ่งสำเร็จรูป ต้มยำกุ้งน้ำข้น 55ก.	กล่อง30ซ)","U00001046","8850987128325","U00001046","","","","","","",""
"SKU-585-1492","585","1492","มาม่า บะหมี่กึ่งสำเร็จรูป ต้มยำกุ้งน้ำข้น 55ก. (มาม่า บะหมี่กึ่งสำเร็จรูป ต้มยำกุ้งน้ำข้น 55ก.	หีบx6 กล่อง30ซ)","U00001046","28850987128329","U00001046","","","","","","",""
"SKU-586-1494","586","1494","มาม่า บะหมี่กึ่งสำเร็จรูป หมูน้ำตก 55ก. (มาม่า บะหมี่กึ่งสำเร็จรูป หมูน้ำตก 55ก.	กล่อง30ซ)","U00001047","-","U00001047","","","","","","",""
"SKU-586-1495","586","1495","มาม่า บะหมี่กึ่งสำเร็จรูป หมูน้ำตก 55ก. (มาม่า บะหมี่กึ่งสำเร็จรูป หมูน้ำตก 55ก.	หีบx6 กล่อง30ซ)","U00001047","-","U00001047","","","","","","",""
"SKU-587-1497","587","1497","มาม่า บะหมี่กึ่งสำเร็จรูป เย็นตาโฟต้มยำ 55ก. (มาม่า บะหมี่กึ่งสำเร็จรูป เย็นตาโฟต้มยำ 55ก. กล่อง30ซ)","U00001048","-","U00001048","","","","","","",""
"SKU-587-1498","587","1498","มาม่า บะหมี่กึ่งสำเร็จรูป เย็นตาโฟต้มยำ 55ก. (มาม่า บะหมี่กึ่งสำเร็จรูป เย็นตาโฟต้มยำ 55ก. หีบx6 กล่อง30ซ)","U00001048","-","U00001048","","","","","","",""
"SKU-588-1500","588","1500","มาม่า บะหมี่กึ่งสำเร็จรูป เป็ดพะโล้ 55ก.	 (มาม่า บะหมี่กึ่งสำเร็จรูป เป็ดพะโล้ 55ก.	กล่อง30ซ)","U00001049","-","U00001049","","","","","","",""
"SKU-588-1501","588","1501","มาม่า บะหมี่กึ่งสำเร็จรูป เป็ดพะโล้ 55ก.	 (มาม่า บะหมี่กึ่งสำเร็จรูป เป็ดพะโล้ 55ก.	หีบx6 กล่อง30ซ)","U00001049","-","U00001049","","","","","","",""
"SKU-589-1503","589","1503","มาม่า บะหมี่กึ่งสำเร็จรูป เส้นหมี่น้ำใส 55ก.	 (มาม่า บะหมี่กึ่งสำเร็จรูป เส้นหมี่น้ำใส 55ก.	กล่อง30ซ)","U00001050","-","U00001050","","","","","","",""
"SKU-589-1504","589","1504","มาม่า บะหมี่กึ่งสำเร็จรูป เส้นหมี่น้ำใส 55ก.	 (มาม่า บะหมี่กึ่งสำเร็จรูป เส้นหมี่น้ำใส 55ก.	หีบx6กล่อง30ซ)","U00001050","-","U00001050","","","","","","",""
"SKU-590-1506","590","1506","มาม่าชุด10ซ. หมูสับ 60 ก. แพ็ค10ซอง (มาม่าชุด10ซ. หมูสับ 60 ก. แพ็ค10ซอง)","U00001051","8850987101199","U00001051","","","","","","",""
"SKU-590-1507","590","1507","มาม่าชุด10ซ. หมูสับ 60 ก. แพ็ค10ซอง (มาม่าชุด10ซ. หมูสับ 60 ก. 	หีบx18 แพค10)","U00001051","28850987123317","U00001051","","","","","","",""
"SKU-591-1508","591","1508","มาม่าชุด10ซ. ต้มยำกุ้ง 55 ก. แพ็ค10ซอง (มาม่าชุด10ซ. ต้มยำกุ้ง 55 ก. แพ็ค10ซอง)","U00001052","8850987101205","U00001052","","","","","","",""
"SKU-591-1509","591","1509","มาม่าชุด10ซ. ต้มยำกุ้ง 55 ก. แพ็ค10ซอง (มาม่าชุด10ซ. ต้มยำกุ้ง 55 ก. แพ็ค10ซอง	 หีบx18แพค)","U00001052","28850987123324","U00001052","","","","","","",""
"SKU-592-1510","592","1510","มาม่าชุด10ซ. ต้มยำกุ้งน้ำข้น 55 ก. แพ็ค10ซอง (มาม่าชุด10ซ. ต้มยำกุ้งน้ำข้น 55 ก. แพ็ค10ซอง)","U00001053","8850987142444","U00001053","","","","","","",""
"SKU-592-1511","592","1511","มาม่าชุด10ซ. ต้มยำกุ้งน้ำข้น 55 ก. แพ็ค10ซอง (มาม่าชุด10ซ. ต้มยำกุ้งน้ำข้น 55 ก. แพ็ค10ซอง	หีบx18 แพค)","U00001053","28850987142455","U00001053","","","","","","",""
"SKU-593-1514","593","1514","มาม่าคัพ 60 ก. รสหมูสับ (มาม่าคัพ 60 ก. รสหมูสับ)","U00001054","8850987101472","U00001054","","","","","","",""
"SKU-593-1512","593","1512","มาม่าคัพ 60 ก. รสหมูสับ (มาม่าคัพ 60 ก. รสหมูสับ แพค6)","U00001054","8850987101663","U00001054","","","","","","",""
"SKU-593-1513","593","1513","มาม่าคัพ 60 ก. รสหมูสับ (มาม่าคัพ 60 ก. รสหมูสับ	หี บx12แพค6)","U00001054","8850987128783","U00001054","","","","","","",""
"SKU-594-1517","594","1517","มาม่าคัพ 60 ก. รสต้มยำกุ้ง (มาม่าคัพ 60 ก. รสต้มยำกุ้ง)","U00001055","8850987101489","U00001055","","","","","","",""
"SKU-594-1515","594","1515","มาม่าคัพ 60 ก. รสต้มยำกุ้ง (มาม่าคัพ 60 ก. รสต้มยำกุ้ง	แพคx6)","U00001055","8850987101656","U00001055","","","","","","",""
"SKU-594-1516","594","1516","มาม่าคัพ 60 ก. รสต้มยำกุ้ง (มาม่าคัพ 60 ก. รสต้มยำกุ้ง	หีบx12 แพค6)","U00001055","8850987128790","U00001055","","","","","","",""
"SKU-595-1518","595","1518","มาม่าคัพ 60 ก. รสต้มยำกุ้งน้ำข้น (มาม่าคัพ 60 ก. รสต้มยำกุ้งน้ำข้น	แพคx6ถ้วย)","U00001056","8850987128424","U00001056","","","","","","",""
"SKU-595-1519","595","1519","มาม่าคัพ 60 ก. รสต้มยำกุ้งน้ำข้น (มาม่าคัพ 60 ก. รสต้มยำกุ้งน้ำข้น หีบx12 แพค6)","U00001056","8850987128806","U00001056","","","","","","",""
"SKU-596-1522","596","1522","มาม่าคัพ โอเค 80 ก. รสชีสซี โคชูจังแบบแห้ง  (มาม่าคัพ โอเค 80 ก. รสชีสซี โคชูจังแบบแห้ง )","U00001057","-","U00001057","","","","","","",""
